koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,target
7079.0,74.0,-84.0,3.827,0.196,-0.098,-0.16,0.15,-0.15,2.634,0.436,-0.653,1.695,0.139,-0.208,293.16495,38.06913,13.37,13.613,13.303,13.266,13.239,12.432,12.238,12.212,0.0,19.544333455,4.9e-08,38.06903866,5.5e-07,0.1469,0.0021,-0.3288,0.002,0.005,0.0015,-0.0006,0.0019,-0.025,0.067,0.014,0.067,0.029,0.067,0.059,0.067,0.054,0.069,0.079,0.068,0
4746.0,170.0,-170.0,4.605,0.04,-0.04,-0.12,0.3,-0.3,0.696,0.063,-0.057,0.713,0.071,-0.065,289.76312,39.245178,15.863,16.772,15.791,15.473,15.264,14.181,13.548,13.485,0.0,19.3174806,9.1e-06,39.24504,0.00011,-2.51,0.38,-0.49,0.4,0.00177,0.00018,0.00084,0.00019,-5.17,0.45,-4.06,0.62,6.57,0.57,-3.02,0.53,-1.03,0.72,3.19,0.55,0
6292.0,168.0,-205.0,4.426,0.054,-0.216,-0.08,0.25,-0.3,1.078,0.353,-0.118,1.129,0.157,-0.141,292.15829,47.67271,14.388,14.766,14.322,14.226,14.171,13.282,13.037,12.998,0.0,19.477046,5.4e-05,47.67145,0.00048,-6.3,2.0,-4.5,1.7,0.000152,4.8e-05,0.000107,4.2e-05,-1.15,0.79,-1.33,0.64,1.76,0.83,-1.2,0.75,-1.43,0.63,1.87,0.74,0
4817.0,144.0,-144.0,4.624,0.028,-0.056,-0.06,0.3,-0.3,0.7,0.07,-0.051,0.767,0.053,-0.079,299.68179,46.735352,14.945,15.782,14.855,14.587,14.395,13.336,12.749,12.686,0.0,19.978877984,3.3e-08,46.73499064,2.9e-07,3.3784,0.0012,-1.2937,0.001,-0.274,0.068,0.152,0.099,1.7,0.13,-0.96,0.15,1.96,0.14,3.63,0.069,-1.362,0.069,3.877,0.069,0
5402.0,185.0,-185.0,4.581,0.026,-0.145,0.07,0.25,-0.3,0.815,0.172,-0.057,0.931,0.064,-0.1,292.77954,47.452099,15.807,16.464,15.732,15.525,15.411,14.375,13.988,13.843,0.0,19.518762,2.3e-05,47.45187,0.00022,4.61,0.85,-0.81,0.8,-0.00086,0.00014,0.00012,0.00013,1.1,1.1,-1.1,0.48,1.55,0.87,-4.18,0.71,-1.07,0.46,4.32,0.75,0
6426.0,173.0,-192.0,3.965,0.266,-0.114,0.07,0.25,-0.3,2.089,0.449,-0.673,1.466,0.154,-0.307,293.53415,44.971111,13.371,13.709,13.31,13.227,13.22,12.368,12.114,12.067,0.0,19.569141,1.1e-05,44.96966,0.00012,7.55,0.42,-5.21,0.43,-0.000836,4.7e-05,0.000575,4.8e-05,5.311,0.07,-3.444,0.07,6.329,0.07,5.242,0.07,-3.494,0.07,6.3,0.07,0
5221.0,127.0,-116.0,3.72,0.821,-0.402,-0.6,0.28,-0.24,2.067,1.636,-1.33,0.819,0.3,-0.102,297.7027,40.68623,12.409,13.056,12.372,12.131,11.981,10.942,10.498,10.407,0.04,19.846876,2.1e-05,40.68619,0.00022,1.24,0.87,-0.14,0.78,-0.00016,0.00012,3e-05,0.00011,0.01,0.95,-1.09,0.85,1.09,0.9,0.07,0.75,-1.01,0.72,1.01,0.72,0
5876.0,79.0,-79.0,4.151,0.162,-0.108,0.14,0.15,-0.15,1.456,0.233,-0.284,1.093,0.107,-0.08,296.4986,46.57724,14.615,15.013,14.568,14.444,14.431,13.539,13.242,13.218,0.826,19.766571,1e-05,46.57719,0.00012,-0.09,0.39,-0.19,0.45,4e-05,0.00016,5e-05,0.00019,0.08,0.25,-0.14,0.27,0.16,0.31,0.08,0.24,-0.2,0.25,0.21,0.27,1
5653.0,165.0,-161.0,4.551,0.026,-0.272,-0.04,0.25,-0.26,0.857,0.327,-0.064,0.952,0.081,-0.095,286.39862,45.343529,15.228,15.769,15.146,14.995,14.912,13.908,13.527,13.477,0.107,19.093216,2.6e-05,45.34333,0.00028,-0.97,0.98,-0.7,1.0,0.00026,0.00029,0.00022,0.0003,7.0,1.5,0.2,1.9,7.0,1.5,6.9,1.5,0.2,1.9,6.9,1.5,1
5571.0,166.0,-166.0,4.31,0.175,-0.175,0.24,0.15,-0.3,1.145,0.304,-0.221,0.976,0.104,-0.085,292.8699,39.844429,14.878,15.521,14.814,14.602,14.481,13.538,13.186,13.133,0.0,19.524493,5.4e-05,39.84274,0.00053,-6.9,2.2,-6.1,1.9,0.000248,8.1e-05,0.000219,7e-05,-2.37,0.6,-3.38,0.31,4.13,0.54,-2.45,0.64,-3.43,0.33,4.21,0.6,0
6258.0,174.0,-239.0,4.413,0.072,-0.217,-0.02,0.25,-0.3,1.098,0.37,-0.123,1.139,0.173,-0.157,287.96655,46.33849,14.975,15.397,14.938,14.794,14.811,13.97,13.673,13.615,0.0,19.197734,2.9e-05,46.33767,0.0003,-1.3,1.1,-3.0,1.1,0.000101,7.6e-05,0.000204,7.6e-05,-2.66,0.82,-2.79,0.47,3.85,0.71,-2.61,0.79,-2.71,0.45,3.76,0.67,0
5624.0,167.0,-150.0,4.516,0.105,-0.105,-0.7,0.3,-0.3,0.777,0.124,-0.093,0.722,0.092,-0.039,287.94138,46.58239,13.711,14.214,13.681,13.495,13.416,12.471,12.074,12.017,0.0,19.196096456,2.5e-08,46.58248609,2.4e-07,0.16538,0.00092,0.34591,0.00087,0.0047,0.0064,0.0014,0.0093,-0.015,0.067,-0.002,0.067,0.016,0.067,0.133,0.068,0.444,0.068,0.464,0.068,0
