kepoi_name,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition
K00753.01,5853.0,158.0,-176.0,4.544,0.044,-0.176,-0.18,0.3,-0.3,0.868,0.233,-0.078,0.961,0.11,-0.121,297.00482,48.134129,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826,0.278,19.8003207,1.9e-06,48.13412,2e-05,-0.021,0.069,-0.038,0.071,0.0007,0.0024,0.0006,0.0034,-0.025,0.07,-0.034,0.07,0.042,0.072,0.002,0.071,-0.027,0.074,0.027,0.074,CANDIDATE
K00777.01,5446.0,179.0,-163.0,4.507,0.116,-0.105,-0.54,0.35,-0.3,0.781,0.116,-0.095,0.714,0.104,-0.037,294.31686,50.080231,15.487,16.1,15.463,15.224,15.091,14.029,13.631,13.491,0.027,19.6211267,4e-06,50.080316,3.8e-05,0.09,0.14,0.31,0.14,0.0006,0.002,-0.0011,0.003,-0.025,0.072,0.051,0.076,0.057,0.077,-0.049,0.071,-0.021,0.075,0.053,0.072,CANDIDATE
K00780.02,5005.0,79.0,-79.0,4.595,0.012,-0.064,0.14,0.15,-0.15,0.765,0.055,-0.028,0.85,0.025,-0.054,293.83331,50.23035,15.334,16.11,15.283,15.001,14.882,13.81,13.3,13.195,0.058,19.588885,3.3e-05,50.22996,0.00034,-0.1,1.2,-1.4,1.2,0.00016,0.0006,0.00075,0.00064,-0.51,0.46,-0.49,0.64,0.71,0.54,0.08,0.45,-0.38,0.56,0.39,0.56,CANDIDATE
K00115.03,5779.0,104.0,-115.0,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,287.88733,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.858,19.192473,3.3e-05,46.27616,0.00034,-0.6,1.2,-0.3,1.2,1.2e-05,3.1e-05,-3e-06,3e-05,0.01,0.64,-0.05,0.95,0.05,0.93,-0.11,0.66,-0.3,1.0,0.3,1.0,CANDIDATE
K00797.01,5988.0,179.0,-197.0,4.541,0.048,-0.192,-0.52,0.3,-0.3,0.836,0.234,-0.078,0.885,0.099,-0.099,291.28195,38.241669,15.657,16.162,15.621,15.441,15.32,14.408,14.036,13.939,0.021,19.4187924,1.9e-06,38.241643,2.3e-05,-0.151,0.081,-0.099,0.084,0.0008,0.0014,-0.0003,0.0017,0.004,0.069,0.008,0.069,0.009,0.069,-0.062,0.07,0.06,0.072,0.087,0.072,CANDIDATE
K00802.01,5710.0,76.0,-85.0,4.492,0.048,-0.112,-0.1,0.15,-0.15,0.905,0.121,-0.061,0.928,0.052,-0.058,293.81619,38.563568,15.562,16.07,15.519,15.344,15.269,14.364,13.996,13.894,0.0,19.58774067,8.4e-07,38.5634145,9.6e-06,-0.225,0.035,-0.56,0.035,-0.0108,0.0049,-0.0133,0.0062,0.656,0.094,0.634,0.073,0.913,0.089,0.056,0.072,0.057,0.071,0.08,0.074,CANDIDATE
K00815.01,5509.0,166.0,-166.0,4.482,0.081,-0.15,-0.16,0.3,-0.3,0.871,0.196,-0.105,0.84,0.111,-0.074,285.92001,39.624828,15.684,16.307,15.646,15.417,15.322,14.363,13.96,13.875,0.13,19.061339,4.3e-06,39.624775,5e-05,0.24,0.18,-0.2,0.18,-0.0012,0.0016,-0.0001,0.0019,0.074,0.095,0.004,0.086,0.074,0.095,-0.003,0.089,-0.271,0.085,0.271,0.085,CANDIDATE
K00820.01,6463.0,205.0,-205.0,4.5,0.087,-0.163,-1.66,0.3,-0.2,0.826,0.159,-0.086,0.786,0.062,-0.045,295.11371,40.071171,15.27,15.662,15.249,15.102,15.046,14.224,13.954,13.785,0.029,19.674246,2.8e-06,40.071187,2.9e-05,-0.05,0.11,0.06,0.1,-9e-05,0.00056,0.00051,0.00063,0.007,0.073,-0.098,0.072,0.098,0.072,-0.073,0.077,-0.103,0.072,0.126,0.073,CANDIDATE
K00823.01,6228.0,183.0,-219.0,4.428,0.077,-0.272,-0.44,0.28,-0.3,0.99,0.377,-0.117,0.959,0.121,-0.111,296.00699,40.295429,15.202,15.662,15.167,15.005,14.892,14.019,13.702,13.598,0.27999999999999997,19.7420258,4.14e-05,39.70221,0.000452,0.9400000000000001,1.7400000000000002,0.2,1.6400000000000001,-0.00045200000000000004,0.000748,-0.00021999999999999998,0.000692,-0.426,1.108,-0.003999999999999959,1.1320000000000001,1.9299999999999997,1.024,-0.466,1.206,-0.10799999999999996,1.074,2.0060000000000002,1.014,CANDIDATE
K00868.01,4245.0,85.0,-85.0,4.627,0.03,-0.018,0.12,0.15,-0.15,0.657,0.022,-0.032,0.666,0.031,-0.031,293.00797,42.307201,15.172,16.343,15.122,14.67,14.421,13.251,12.678,12.515,0.0,19.5338684,1.1e-06,42.307216,1.2e-05,0.148,0.046,0.059,0.042,-0.0041,0.0057,0.0,0.0076,0.051,0.067,-0.022,0.067,0.056,0.067,0.115,0.077,-0.045,0.076,0.123,0.077,CANDIDATE
K00856.01,6122.0,181.0,-218.0,4.487,0.052,-0.208,-0.18,0.3,-0.3,0.964,0.303,-0.101,1.041,0.139,-0.139,293.17929,41.969238,15.344,15.804,15.287,15.147,15.06,14.131,13.824,13.767,0.0,19.54528636,5.3e-07,41.9692414,5.7e-06,0.015,0.021,0.005,0.021,-0.0049,0.0021,0.0017,0.0029,0.119,0.068,-0.07,0.071,0.138,0.069,0.062,0.068,0.024,0.07,0.067,0.068,CANDIDATE
K00858.01,5697.0,154.0,-154.0,4.46,0.098,-0.182,-0.26,0.3,-0.3,0.903,0.234,-0.108,0.857,0.117,-0.072,289.89777,42.009151,15.06,15.607,14.999,14.825,14.697,13.702,13.307,13.245,0.015,19.3265228,1.6e-06,42.009183,1.7e-05,0.191,0.063,0.118,0.06,-0.00066,0.00057,0.00021,0.00069,0.056,0.075,-0.045,0.07,0.072,0.073,0.139,0.077,0.08,0.069,0.16,0.075,CANDIDATE
K00865.01,5453.0,81.0,-73.0,4.342,0.144,-0.108,0.16,0.15,-0.15,1.062,0.146,-0.16,0.904,0.062,-0.039,291.58377,42.36816,15.085,15.601,15.024,14.864,14.78,13.858,13.476,13.398,0.0,19.4389289,1.5e-06,42.368062,1.4e-05,0.407,0.059,-0.351,0.051,0.0043,0.001,-0.0041,0.0013,-1.52,0.18,1.7,0.21,2.28,0.27,0.002,0.074,-0.078,0.07,0.078,0.07,CANDIDATE
K00871.01,5875.0,140.0,-175.0,4.572,0.036,-0.144,-0.42,0.3,-0.3,0.809,0.174,-0.069,0.895,0.089,-0.099,291.11969,42.507069,15.215,15.674,15.167,15.018,14.948,14.079,13.715,13.633,0.0,19.40797301,2.3e-07,42.5070417,2.4e-06,-0.2503,0.0091,-0.1019,0.0086,-0.0016,0.0045,0.0021,0.0061,-0.002,0.067,-0.009,0.067,0.009,0.067,-0.143,0.068,-0.117,0.068,0.185,0.068,CANDIDATE
K00883.01,4820.0,130.0,-144.0,4.667,0.027,-0.063,-0.4,0.35,-0.3,0.639,0.072,-0.042,0.699,0.059,-0.072,296.68307,42.967869,15.766,16.587,15.72,15.414,15.22,14.178,13.631,13.522,0.0,19.77888413,1.3e-07,42.9680077,1.4e-06,0.5305,0.0052,0.4959,0.0051,0.0296,0.0032,0.0273,0.0043,-1.13,0.24,-1.08,0.15,1.56,0.27,0.115,0.068,0.098,0.069,0.151,0.068,CANDIDATE
K00901.01,3950.0,560.0,-301.0,4.721,0.104,-0.085,-0.14,0.1,-0.1,0.541,0.107,-0.107,0.563,0.112,-0.112,285.16748,43.876339,15.75,16.872,15.715,15.269,15.028,13.909,13.326,13.182,0.216,19.0111579,2e-06,43.876323,2.1e-05,-0.314,0.078,-0.061,0.076,0.00059,0.00081,-0.0002,0.001,-0.019,0.069,-0.007,0.071,0.02,0.07,-0.206,0.072,-0.065,0.071,0.216,0.073,CANDIDATE
K00902.01,3960.0,118.0,-130.0,4.746,0.045,-0.04,-0.36,0.1,-0.15,0.509,0.036,-0.05,0.526,0.034,-0.046,287.85239,43.897991,15.754,16.789,15.679,15.311,15.116,14.0,13.359,13.215,0.0,19.1901626,2e-06,43.898097,2.1e-05,0.127,0.079,0.384,0.075,0.004,0.0015,0.0002,0.0019,-0.094,0.073,-0.02,0.073,0.096,0.074,-0.03,0.072,0.176,0.073,0.178,0.073,CANDIDATE
K00914.01,5662.0,153.0,-153.0,4.61,0.032,-0.12,-0.54,0.3,-0.3,0.738,0.14,-0.06,0.813,0.08,-0.08,288.72665,44.60751,15.371,15.88,15.329,15.153,15.075,14.153,13.764,13.648,0.0,19.2484399,4.1e-06,44.607207,5e-05,-0.13,0.16,-1.09,0.18,-0.000119,9.1e-05,-0.00047,0.00011,0.41,0.13,1.72,0.12,1.77,0.12,0.04,0.12,-0.22,0.13,0.23,0.13,CANDIDATE
K00928.01,5569.0,99.0,-110.0,4.566,0.02,-0.08,-0.08,0.15,-0.15,0.829,0.082,-0.041,0.928,0.039,-0.078,284.75943,45.599129,15.251,15.793,15.211,15.019,14.929,13.945,13.542,13.589,0.064,18.9839442,7.8e-06,45.599007,8.7e-05,-0.67,0.29,-0.44,0.31,0.00028,0.00015,4e-05,0.00017,-0.04,0.1,0.033,0.095,0.05,0.098,-0.1,0.11,-0.25,0.12,0.26,0.13,CANDIDATE
K00924.01,6225.0,172.0,-237.0,4.45,0.054,-0.216,-0.12,0.25,-0.3,1.031,0.332,-0.111,1.091,0.155,-0.155,291.20804,45.244389,15.229,15.656,15.17,15.045,14.986,14.062,13.769,13.713,0.555,19.413864,1.5e-05,45.2444,0.00017,-0.23,0.58,0.04,0.63,0.00041,0.0006,0.00015,0.00066,-0.07,0.34,0.05,0.33,0.09,0.22,0.03,0.34,0.14,0.36,0.14,0.4,CANDIDATE
K00935.04,6035.0,120.0,-120.0,4.22,0.168,-0.112,-0.28,0.15,-0.15,1.257,0.187,-0.25,0.958,0.076,-0.068,294.02301,45.853081,15.237,15.592,15.199,15.086,15.071,14.233,13.984,13.871,0.33,19.601563,3.8e-05,45.85324,0.00041,1.1,1.4,0.6,1.5,-0.00016,0.00018,-9e-05,0.00018,-0.92,0.55,2.6,0.99,2.8,1.1,-0.92,0.57,2.65,0.97,2.8,1.1,CANDIDATE
K01103.01,6520.0,180.0,-248.0,4.375,0.056,-0.224,0.07,0.25,-0.3,1.215,0.41,-0.137,1.279,0.165,-0.202,293.22391,38.033581,14.96,15.395,14.892,14.774,14.822,13.968,13.698,13.593,0.0,19.5482227,2.8e-06,38.033614,2.3e-05,-1.59,0.12,0.121,0.083,-0.002,0.00072,0.00089,0.00082,0.067,0.081,-0.11,0.29,0.13,0.25,-0.15,0.43,0.23,0.26,0.27,0.44,CANDIDATE
K01168.01,6449.0,163.0,-210.0,4.232,0.163,-0.27,-0.32,0.24,-0.3,1.309,0.656,-0.254,1.063,0.253,-0.119,287.58679,47.600021,13.997,14.339,13.96,13.851,13.834,12.923,12.672,12.595,0.3186,19.192638199999998,4.08e-05,46.106796,0.000438,1.5260000000000002,1.512,-0.79,1.584,-7.7e-05,0.000352,2.639999999999999e-05,0.00037759999999999996,-0.49000000000000005,0.584,0.63,0.7819999999999999,1.2280000000000002,0.7000000000000001,-0.48199999999999993,0.65,0.512,0.776,1.1,0.7180000000000001,CANDIDATE
K01169.01,5630.0,100.0,-122.0,4.505,0.023,-0.128,0.36,0.1,-0.15,0.954,0.138,-0.039,1.064,0.042,-0.073,281.55118,47.469959,13.248,13.661,13.175,13.071,13.01,12.103,11.768,11.715,0.143,18.770059,1.4e-05,47.46992,0.00013,-0.69,0.5,-0.15,0.48,5e-05,3.5e-05,1.7e-05,3.4e-05,-0.06,0.12,-0.04,0.12,0.07,0.12,-0.07,0.12,0.06,0.12,0.1,0.12,CANDIDATE
K00970.01,4813.0,50.0,-121.0,2.472,0.156,-0.117,-0.22,0.1,-0.15,13.652,1.869,-4.361,2.016,0.769,-0.846,289.09323,49.424484,6.974,8.261,7.227,10.4946,10.6244,5.393,4.854,4.718,0.0,19.273107,1.8e-05,49.42199,0.00029,7.9,0.63,-9.0,1.0,-0.00289,0.00017,0.00364,0.00028,-11.3,1.4,18.7,3.3,21.9,3.6,-18.6,3.2,34.0,6.1,38.8,6.9,CANDIDATE
K00971.01,8523.0,267.0,-326.0,3.559,0.639,-0.071,-0.5,0.15,-0.3,4.051,0.788,-2.363,2.166,0.377,-0.7,286.0192,48.866741,7.748,7.628,7.789,7.935,8.034,7.388,7.343,7.355,0.0,19.0678934,8.8e-06,48.86693,0.00012,-1.89,0.31,0.68,0.45,0.000122,3.2e-05,6.1e-05,4.6e-05,7.6,1.7,-3.7,1.6,8.4,2.0,9.7,2.2,-7.2,2.4,12.1,3.0,CANDIDATE
K01174.01,4500.0,153.0,-119.0,4.572,0.042,-0.028,0.2,0.2,-0.26,0.726,0.039,-0.052,0.717,0.054,-0.049,296.82162,47.354031,13.447,14.498,13.406,12.997,12.712,11.607,10.972,10.843,0.121,19.7708096,4.06e-05,46.77747800000001,0.000432,0.624,1.504,0.16000000000000006,1.542,-0.00017399999999999997,0.000312,-2.6000000000000015e-05,0.00032199999999999997,0.4680000000000001,0.6739999999999999,-0.47000000000000003,1.1119999999999999,0.974,1.1400000000000001,0.358,0.6980000000000001,-0.502,1.214,0.9120000000000001,1.1219999999999999,CANDIDATE
K00972.01,7221.0,114.0,-171.0,3.488,0.272,-0.048,-0.18,0.15,-0.1,4.24,0.227,-1.284,2.018,0.029,-0.248,282.00031,48.542221,9.275,9.265,9.278,9.392,9.493,8.816,8.765,8.736,0.4774,18.8000076,3.1e-06,48.542446,3.4e-05,-0.49,0.11,0.81,0.12,0.000238,4e-05,1.5199999999999998e-05,0.0001222,-3.41,0.96,3.9,1.3,5.2,1.5,-3.21,0.81,4.3,1.1,5.4,1.3,CANDIDATE
K00972.02,7221.0,114.0,-171.0,3.488,0.272,-0.048,-0.18,0.15,-0.1,4.24,0.227,-1.284,2.018,0.029,-0.248,282.00031,48.542221,9.275,9.265,9.278,9.392,9.493,8.816,8.765,8.736,0.4774,18.800049,2.7e-05,48.54236,0.0003,1.0,0.97,0.5,1.1,-2.6e-05,3.1e-05,1.5199999999999998e-05,0.0001222,-2.6,1.2,2.8,1.7,3.9,1.7,-4.7,1.2,3.0,1.8,5.6,1.7,CANDIDATE
K00974.01,6247.0,75.0,-69.0,4.016,0.03,-0.027,-0.12,0.1,-0.1,1.762,0.112,-0.084,1.174,0.14,-0.056,295.80267,45.988079,9.582,9.862,9.518,9.462,9.487,8.661,8.457,8.407,0.0,19.7202344,9.7e-06,45.988357,6.4e-05,2.09,0.37,1.0,0.23,-0.000167,7e-05,-0.00014,4.5e-05,2.31,0.83,1.1,1.0,2.57,0.87,1.3,1.2,0.99,0.56,1.7,1.0,CANDIDATE
K00151.01,6276.0,169.0,-206.0,4.405,0.087,-0.203,-0.32,0.3,-0.3,1.041,0.326,-0.14,1.001,0.158,-0.115,292.37476,37.630959,14.0,14.391,13.952,13.832,13.76,12.891,12.605,12.554,0.006,19.4916534,3.4e-06,37.630755,4e-05,0.09,0.14,-0.74,0.14,9e-05,0.00025,0.00037,0.00027,0.04,0.13,-0.24,0.1,0.24,0.11,0.06,0.12,-0.14,0.1,0.15,0.12,CANDIDATE
K00134.01,6038.0,120.0,-120.0,4.082,0.18,-0.12,0.34,0.1,-0.15,1.744,0.325,-0.398,1.341,0.125,-0.152,295.58658,45.364979,13.675,14.038,13.622,13.52,13.49,12.628,12.413,12.322,0.123,19.7057672,6.5e-06,45.364865,8.4e-05,-0.18,0.25,-0.41,0.3,9e-05,0.00017,0.0001,0.00023,-0.02,0.36,-0.1,0.39,0.1,0.4,0.05,0.37,-0.15,0.39,0.16,0.34,CANDIDATE
K01118.01,5973.0,107.0,-131.0,4.371,0.099,-0.121,-0.14,0.15,-0.15,1.07,0.168,-0.126,0.982,0.071,-0.071,291.65097,38.028179,13.835,14.216,13.785,13.672,13.591,12.761,12.484,12.43,0.0,19.443402,1.5e-05,38.02849,0.00018,0.13,0.64,1.13,0.66,-7e-05,0.00013,-0.00031,0.00013,-0.1,1.4,0.0,2.1,0.1,1.5,-0.2,1.4,0.3,2.1,0.4,1.9,CANDIDATE
K01193.01,5697.0,173.0,-173.0,4.392,0.171,-0.19,-0.52,0.3,-0.3,0.92,0.25,-0.167,0.76,0.123,-0.044,287.88812,39.078709,15.289,15.851,15.26,15.048,14.937,14.03,13.607,13.532,0.798,19.1925378,4.9e-06,39.078663,6e-05,-0.18,0.21,-0.17,0.22,0.0004,0.0023,0.0002,0.0029,0.12,0.1,-0.04,0.1,0.12,0.1,0.108,0.097,-0.04,0.087,0.115,0.094,CANDIDATE
K01194.02,4362.0,87.0,-78.0,4.722,0.012,-0.051,-0.5,0.15,-0.15,0.554,0.042,-0.017,0.59,0.029,-0.029,293.80441,38.63913,15.842,16.893,15.784,15.391,15.148,14.091,13.434,13.378,0.005,19.586971,8.4e-06,38.63796,0.00012,0.41,0.35,-4.22,0.44,0.0001,0.00031,0.00066,0.00039,0.2,0.32,-0.96,0.59,0.98,0.58,0.66,0.32,-3.65,0.59,3.71,0.58,CANDIDATE
K00989.03,5619.0,173.0,-156.0,4.536,0.03,-0.291,0.02,0.22,-0.26,0.874,0.366,-0.067,0.956,0.088,-0.092,296.38229,48.045311,15.488,16.084,15.416,15.233,15.129,14.11,13.804,13.859,0.116,19.7588182,5.7e-06,48.045233,5.9e-05,-0.01,0.2,-0.28,0.21,-0.00038,0.00056,-0.00048,0.00067,1.69,0.44,-2.67,0.62,3.16,0.76,1.54,0.43,-2.81,0.58,3.2,0.71,CANDIDATE
K01192.01,5609.0,159.0,-141.0,4.346,0.149,-0.233,-0.04,0.26,-0.24,1.048,0.375,-0.171,0.889,0.12,-0.064,291.03217,38.703911,14.215,14.789,14.159,13.969,13.879,12.918,12.546,12.472,0.055600000000000004,19.4011086,4.14e-05,38.997476,0.000564,-1.8399999999999999,1.7399999999999998,-0.2600000000000001,2.02,0.000332,0.00041999999999999996,0.00029,0.000496,0.4626,0.8097999999999999,0.13000000000000003,0.794,1.1179999999999999,0.9280000000000002,0.5075999999999999,0.7634000000000001,-0.034000000000000044,0.762,0.968,0.906,CANDIDATE
K00994.01,5300.0,87.0,-71.0,4.385,0.132,-0.088,0.18,0.15,-0.15,0.986,0.124,-0.124,0.861,0.061,-0.031,291.14249,37.061321,14.613,15.224,14.534,14.352,14.287,13.284,12.909,12.835,0.0,19.4094849,9e-06,37.06078,0.00013,-0.62,0.39,-1.94,0.47,-0.000201,8.9e-05,-0.00045,0.00011,3.29,0.39,9.17,0.7,9.74,0.71,-0.68,0.39,0.09,0.77,0.69,0.37,CANDIDATE
K01066.01,5695.0,189.0,-189.0,4.526,0.058,-0.173,-0.28,0.3,-0.3,0.842,0.224,-0.09,0.869,0.1,-0.09,299.78632,44.16954,15.623,16.237,15.596,15.36,15.256,14.295,13.888,13.856,0.0,19.98576669,4.8e-07,44.1697,6.1e-06,0.441,0.018,0.576,0.022,0.00954,0.00088,0.0107,0.0012,-2.48,0.13,-1.94,0.27,3.15,0.22,-0.054,0.07,0.058,0.068,0.079,0.069,CANDIDATE
K01127.03,5831.0,184.0,-205.0,4.517,0.038,-0.212,0.0,0.25,-0.3,0.921,0.301,-0.094,1.016,0.115,-0.127,290.21518,41.77597,15.808,16.324,15.706,15.587,15.481,14.438,14.14,13.961,0.055,19.347603,3.8e-05,41.77566,0.00038,-3.0,1.5,-1.1,1.4,0.00031,0.00023,0.00016,0.00021,-0.74,0.43,0.2,1.0,0.77,0.63,-0.83,0.42,0.22,0.89,0.85,0.56,CANDIDATE
K01198.04,6176.0,144.2,-161.4,4.3108,0.10899999999999999,-0.1548,-0.034,0.16399999999999998,-0.21600000000000003,1.2302,0.2732,-0.17880000000000001,1.1107999999999998,0.11399999999999999,-0.11080000000000001,292.47971,38.514919,15.319,15.679,15.231,15.165,15.138,14.277,14.027,13.957,0.32880000000000004,19.5030374,2.22e-05,38.616384000000004,0.000272,0.32599999999999996,0.9480000000000001,-0.8459999999999999,0.99,-7.199999999999999e-05,0.000372,0.000208,0.000388,-0.22799999999999998,0.668,0.32,0.6579999999999999,1.304,0.6799999999999999,-0.019999999999999973,0.6100000000000001,0.372,0.6419999999999999,1.3119999999999998,0.6639999999999999,CANDIDATE
K00141.01,5340.0,106.0,-106.0,4.514,0.033,-0.104,0.36,0.1,-0.15,0.899,0.105,-0.04,0.963,0.03,-0.059,288.0383,50.651611,13.687,14.261,13.618,13.441,13.384,12.489,12.052,11.986,0.001,19.2025446,1e-06,50.651584,1.1e-05,-0.299,0.034,-0.095,0.038,0.00015,0.00011,0.00017,0.00014,-0.029,0.067,-0.285,0.071,0.287,0.071,-0.285,0.068,-0.374,0.071,0.47,0.071,CANDIDATE
K01070.03,5888.0,176.0,-215.0,4.444,0.059,-0.298,0.1,0.2,-0.28,1.019,0.451,-0.106,1.053,0.204,-0.127,294.48438,44.166908,15.59,16.153,15.533,15.348,15.269,14.3,13.907,13.811,0.257,19.6764298,4.02e-05,43.76963,0.0004379999999999999,0.020000000000000073,1.5799999999999998,0.0060000000000000496,1.582,-6.66e-05,0.0009419999999999999,0.0004112,0.0010922,-1.41,0.754,1.508,0.9339999999999999,3.1100000000000003,1.2399999999999998,0.06600000000000003,0.734,1.6239999999999999,1.374,2.27,1.3820000000000001,CANDIDATE
K01206.01,5796.0,162.0,-165.0,4.12,0.256,-0.224,-0.02,0.24,-0.28,1.444,0.648,-0.397,1.004,0.224,-0.115,293.95459,38.899971,13.642,14.188,13.6,13.408,13.341,12.439,12.1,12.052,0.07899999999999999,19.6094436,4.5799999999999995e-05,39.094488,0.0005220000000000001,2.914,1.918,0.5599999999999999,1.9140000000000001,-0.00076,0.000402,-0.000442,0.000442,0.22000000000000003,1.124,1.2399999999999998,1.032,2.4400000000000004,1.254,-0.266,0.99,-0.47400000000000003,0.728,1.028,0.8880000000000001,CANDIDATE
K01145.01,5944.0,106.0,-130.0,4.38,0.08,-0.12,0.0,0.15,-0.15,1.082,0.181,-0.111,1.024,0.083,-0.068,296.54861,44.264671,14.143,14.581,14.09,13.956,13.89,13.028,12.723,12.685,0.036,19.769922,1.1e-05,44.26456,0.00011,0.52,0.44,-0.4,0.4,-0.00022,0.00018,0.00018,0.00017,-0.26,0.36,-0.07,0.3,0.27,0.29,-0.24,0.36,-0.19,0.31,0.31,0.19,CANDIDATE
K01081.01,6161.0,172.0,-236.0,4.454,0.048,-0.192,0.07,0.2,-0.35,1.053,0.306,-0.122,1.15,0.127,-0.17,294.76855,47.13279,15.22,15.65,15.15,15.035,14.95,14.08,13.802,13.725,0.477,19.651225,1e-05,47.13308,0.00013,-0.41,0.37,1.06,0.47,9e-05,0.00024,-0.00014,0.00032,0.21,0.2,-0.13,0.21,0.24,0.25,0.15,0.21,-0.16,0.21,0.22,0.26,CANDIDATE
K00950.01,3748.0,56.0,-61.0,4.796,0.042,-0.028,-0.3,0.1,-0.1,0.449,0.028,-0.034,0.461,0.028,-0.031,292.65704,46.537338,15.798,17.249,15.856,15.176,14.823,13.584,12.953,12.753,0.535,19.5104665,7e-07,46.5374253,7.5e-06,-0.104,0.026,0.307,0.027,0.0006,0.006,0.0005,0.0087,0.005,0.067,-0.002,0.067,0.005,0.067,0.032,0.068,0.415,0.07,0.416,0.07,CANDIDATE
K01154.01,7226.0,228.0,-304.0,3.967,0.315,-0.135,-0.4,0.3,-0.3,2.079,0.507,-0.76,1.461,0.204,-0.306,299.10281,47.377781,12.628,12.796,12.572,12.541,12.542,11.768,11.61,11.548,0.0,19.940189437,8e-08,47.37779511,7.9e-07,0.0525,0.0029,0.0544,0.0029,0.00038,0.00021,0.0002,0.00031,-0.006,0.067,-0.005,0.067,0.008,0.067,-0.01,0.067,-0.001,0.067,0.011,0.068,CANDIDATE
K01095.01,5681.0,169.0,-169.0,4.551,0.034,-0.195,-0.06,0.3,-0.3,0.859,0.248,-0.078,0.957,0.094,-0.115,287.61688,38.402321,15.617,16.184,15.554,15.374,15.262,14.338,13.865,13.914,0.0,19.1744483,4.3e-06,38.402282,4.4e-05,-0.41,0.18,-0.14,0.16,0.0058,0.0019,0.0004,0.0022,-0.146,0.085,-0.096,0.078,0.175,0.083,0.039,0.086,-0.155,0.091,0.159,0.09,CANDIDATE
K01096.01,5606.0,158.0,-150.0,4.597,0.03,-0.213,-0.4,0.34,-0.28,0.76,0.27,-0.055,0.832,0.097,-0.085,290.18304,38.321941,14.709,15.241,14.656,14.481,14.391,13.425,13.041,12.971,0.05940000000000001,19.367803200000004,4.32e-05,39.030498,0.000492,-1.94,1.8199999999999998,-2.542,1.752,0.000638,0.000784,0.001396,0.000698,-0.10540000000000001,0.7798,-0.13599999999999995,0.8320000000000001,2.072,0.932,-0.5164000000000001,0.7214,-0.22600000000000006,0.818,2.376,0.9040000000000001,CANDIDATE
K01032.01,5009.0,81.0,-92.0,3.755,0.091,-0.163,0.07,0.13,-0.15,2.283,0.625,-0.301,1.083,0.201,-0.121,291.97754,37.532551,13.862,14.715,13.817,13.497,13.296,12.204,11.681,11.582,0.2238,19.465838800000004,3.7e-05,38.427868,0.000496,-0.34799999999999986,1.558,0.33999999999999997,1.8,-7.599999999999998e-05,0.00032999999999999994,0.00010600000000000002,0.000374,0.44799999999999995,0.696,-0.20800000000000002,0.9,0.898,0.914,0.768,0.6940000000000001,-0.32,0.8640000000000001,1.052,0.8880000000000001,CANDIDATE
K01362.01,5310.0,185.0,-185.0,4.608,0.045,-0.078,-0.5,0.3,-0.3,0.704,0.1,-0.062,0.733,0.088,-0.059,281.60541,42.390419,15.406,16.027,15.352,15.14,14.98,13.962,13.538,13.447,0.0,18.7736253,6.2e-06,42.390551,6.3e-05,-2.71,0.25,0.47,0.23,-0.00057,0.00031,0.00059,0.00031,3.98,0.91,-1.93,0.19,4.42,0.82,-0.08,0.2,0.12,0.26,0.14,0.29,CANDIDATE
K01239.01,5640.0,76.0,-76.0,4.247,0.162,-0.108,0.16,0.15,-0.15,1.233,0.19,-0.211,0.979,0.075,-0.055,292.17859,42.005909,15.005,15.458,14.939,14.812,14.773,13.848,13.504,13.517,0.0,19.478609,5.8e-06,42.005794,4.1e-05,1.43,0.23,-0.42,0.15,0.000344,4.8e-05,-0.000141,3.1e-05,-4.99,0.64,1.69,0.17,5.27,0.61,-0.04,0.1,-0.19,0.11,0.19,0.11,CANDIDATE
K01239.02,5640.0,76.0,-76.0,4.247,0.162,-0.108,0.16,0.15,-0.15,1.233,0.19,-0.211,0.979,0.075,-0.055,292.17859,42.005909,15.005,15.458,14.939,14.812,14.773,13.848,13.504,13.517,0.0,19.4786027,8.3e-06,42.005611,5.9e-05,1.18,0.33,-1.08,0.21,0.000508,8.9e-05,-6e-06,5.8e-05,-4.79,0.37,1.12,0.44,4.92,0.38,0.22,0.48,-0.96,0.56,0.98,0.55,CANDIDATE
