kepoi_name,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition
K06605.01,6865.0,244.0,-293.0,3.742,0.474,-0.474,-2.02,0.28,-0.26,2.211,1.034,-1.047,0.983,0.226,-0.183,291.04001,40.84993,11.319,11.489,11.262,11.158,11.107,10.34,10.097,10.05,0.597,19.4026636,9.2e-06,40.85005,0.00012,-0.15,0.38,0.43,0.43,9e-06,6.8e-05,-3.7e-05,7.8e-05,0.94,0.31,-1.24,0.46,1.56,0.41,0.95,0.38,-1.38,0.43,1.68,0.43,CANDIDATE
K06739.01,5103.0,153.0,-138.0,4.65,0.033,-0.077,-0.4,0.35,-0.3,0.674,0.088,-0.052,0.747,0.073,-0.073,291.09485,42.002918,15.455,16.128,15.4,15.166,15.03,14.007,13.557,13.473,0.001,19.406359,4.8e-05,42.0039,0.00052,1.4,1.9,3.5,1.9,-0.00026,0.0004,-0.00072,0.00039,-1.3,1.1,-2.7,1.2,3.0,1.3,-1.2,1.2,-2.7,1.1,2.9,1.2,CANDIDATE
K06872.01,5442.0,175.0,-145.0,4.6,0.03,-0.03,-0.34,0.38,-0.28,0.747,0.23,-0.054,0.811,0.106,-0.081,296.91513,42.905079,15.087,15.69,15.041,14.828,14.716,13.735,13.342,13.317,0.0,19.794453,4.3e-05,42.90505,0.00051,4.4,1.7,-0.1,1.8,-0.00065,0.00026,2e-05,0.00028,-0.38,0.67,-2.6,1.2,2.7,1.2,-0.48,0.63,-2.7,1.2,2.7,1.2,CANDIDATE
K07002.01,5693.0,152.0,-169.0,4.467,0.078,-0.182,-0.02,0.25,-0.3,0.939,0.254,-0.109,0.943,0.115,-0.094,296.69574,44.150761,14.991,15.572,14.939,14.743,14.635,13.773,13.366,13.339,0.0,19.779675,2.5e-05,44.15123,0.00027,-1.6,0.95,1.7,0.95,0.00047,0.00022,-0.00044,0.00023,-1.49,0.62,1.41,0.51,2.05,0.58,-1.27,0.65,1.27,0.54,1.79,0.65,CANDIDATE
K07003.01,5598.0,83.0,-75.0,4.045,0.203,-0.087,0.12,0.15,-0.15,1.594,0.245,-0.398,1.028,0.093,-0.085,298.88669,44.11586,14.106,14.634,14.059,13.879,13.758,12.861,12.5,12.435,0.0728,19.925815,3.1e-05,44.1157,0.00035,1.4,1.2,-0.6,1.2,-9.9e-05,7.2e-05,0.0001404,0.00024400000000000002,0.6,1.2,0.35,0.91,0.7,0.79,0.2,1.3,0.7,1.1,0.74,0.72,CANDIDATE
K07007.01,4336.0,118.0,-144.0,4.656,0.059,-0.027,-0.46,0.3,-0.3,0.59,0.045,-0.061,0.574,0.063,-0.048,284.77267,44.249371,15.695,16.772,15.588,15.233,14.968,13.799,13.21,13.094,0.3452,18.984863,2.8e-05,44.24905,0.0003,0.7,1.1,-1.2,1.1,-0.00013,0.00017,5.4200000000000016e-05,0.0006936,-0.47,0.32,-0.29,0.68,0.55,0.57,-0.49,0.35,-0.41,0.72,0.64,0.65,CANDIDATE
K07136.01,5610.0,171.0,-162.0,4.551,0.027,-0.027,0.0,0.24,-0.26,0.858,0.326,-0.064,0.953,0.078,-0.094,290.30801,45.598412,15.632,16.202,15.537,15.389,15.251,14.272,13.888,13.893,0.156,19.353929,4.8e-05,45.59836,0.00049,2.3,1.8,-0.2,1.8,-0.0013,0.0013,0.0003,0.0013,0.9,1.4,0.24,0.74,0.9,1.3,1.1,1.2,0.42,0.69,1.2,1.2,CANDIDATE
K07270.01,6060.0,162.0,-198.0,4.495,0.05,-0.2,-0.14,0.25,-0.35,0.953,0.277,-0.092,1.036,0.13,-0.143,287.46475,46.96841,15.362,15.81,15.31,15.169,15.104,14.239,13.887,13.804,0.007,19.164299,4.2e-05,46.96923,0.00044,-0.7,1.5,2.9,1.6,0.00016,0.00031,-0.00049,0.00032,-2.22,0.85,0.12,0.9,2.23,0.85,-2.16,0.88,0.14,0.9,2.17,0.88,CANDIDATE
K07272.01,6534.0,158.0,-225.0,4.365,0.067,-0.202,-0.06,0.25,-0.3,1.199,0.373,-0.133,1.219,0.176,-0.176,295.08221,46.941711,15.105,15.467,15.051,14.95,14.888,14.023,13.749,13.702,0.315,19.672088,5.1e-05,46.94177,0.00056,-2.2,1.9,0.2,2.0,0.00023,0.00019,-2e-05,0.0002,-1.6,1.1,1.25,0.5,2.03,0.92,-1.6,1.1,1.39,0.49,2.1,0.88,CANDIDATE
K07404.01,5808.0,162.0,-223.0,4.503,0.039,-0.221,0.21,0.2,-0.3,0.963,0.309,-0.096,1.077,0.112,-0.15,282.55869,48.63097,15.591,16.116,15.483,15.366,15.257,14.389,14.079,13.982,0.093,18.83725,4.3e-05,48.63154,0.00042,0.1,1.5,2.0,1.5,-7e-05,0.00024,-0.00027,0.00023,-0.17,0.72,0.31,0.74,0.36,0.74,-0.11,0.9,0.3,0.89,0.32,0.82,CANDIDATE
K07408.01,3900.0,46.0,-50.0,4.727,0.017,-0.022,-0.1,0.1,-0.1,0.534,0.024,-0.021,0.555,0.02,-0.025,295.83051,48.602261,15.949,17.356,16.011,15.346,15.029,13.765,13.053,12.94,0.0,19.722054,2.4e-05,48.60279,0.00028,0.7,0.85,1.91,0.99,-0.00014,0.00035,-0.00098,0.0004,-0.03,0.37,0.54,0.58,0.54,0.57,0.1,0.39,0.49,0.59,0.51,0.6,CANDIDATE
